CORRECT     	EL_00218	Ehud Barak	Ehud Barak
CORRECT     	EL_00219	Ehud Barak	Ehud Barak
CORRECT     	EL_00220	Ehud Barak	Ehud Barak
CORRECT     	EL_00221	Ehud Barak	Ehud Barak
CORRECT     	EL_00222	Ehud Barak	Ehud Barak
CORRECT     	EL_01471	Norwich, Connecticut	Norwich, Connecticut
CORRECT     	EL_02103	Ty Pennington	Ty Pennington
CORRECT     	EL_01837	Shan	Shan State
CORRECT     	EL_01973	Surrey, Canada	Surrey, British Columbia
WRONG KB ID 	EL_00797	Halifax, Nova Scotia	City of Halifax
CORRECT     	EL_00798	Halifax, Nova Scotia	City of Halifax
CORRECT     	EL_00493	DMCA	Digital Millennium Copyright Act
CORRECT     	EL_01640	General Patton	George S. Patton
CORRECT     	EL_01641	George S. Patton	George S. Patton
CORRECT     	EL_01228	Ministry of Health	Ministry of Health (Singapore)
CORRECT     	EL_00736	Gaston, South Carolina	Gaston, South Carolina
EXP NIL     	EL_01032	Chris Kelly	Chris Kelly (ice hockey)
CORRECT     	EL_01808	Sandy, Oregon	Sandy, Oregon
CORRECT     	EL_01221	Economic Affairs	Ministry of Economic Affairs (Republic of China)
WRONG KB ID 	EL_01653	Peru	Lima
CORRECT     	EL_00125	Mahmoud Ahmedinejad	Mahmoud Ahmadinejad
CORRECT     	EL_01586	Ottawa, Canada	Ottawa
WRONG KB ID 	EL_02170	Writers Guild of America	Writers Guild of America, East
CORRECT     	EL_01104	Lazar	Lazar of Serbia
EXP NIL     	EL_00418	Chapainawabganj	Nawabganj District
WRONG KB ID 	EL_00934	Ireland	United Kingdom
WRONG KB ID 	EL_02182	Wales	United Kingdom
WRONG KB ID 	EL_00204	Bushies	John G. Roberts
CORRECT     	EL_00259	Bismarck, North Dakota	Bismarck, North Dakota
CORRECT     	EL_00260	Bismarck, North Dakota	Bismarck, North Dakota
EXP NIL     	EL_00156	Andy Crawford	Randy Crawford
CORRECT     	EL_01358	Mike Huckabee	Mike Huckabee
CORRECT     	EL_00169	Austria	Austria
CORRECT     	EL_00299	Edward W. Brooke	Edward Brooke
CORRECT     	EL_00693	GAC	Great American Country
CORRECT     	EL_01678	Jan Poulsen	Jan B. Poulsen
CORRECT     	EL_01835	Serres	Serres
CORRECT     	EL_00741	Gaylord, Michigan	Gaylord, Michigan
CORRECT     	EL_00742	Gaylord, Michigan	Gaylord, Michigan
CORRECT     	EL_01804	Lunenburg, Massachusetts	Lunenburg, Massachusetts
CORRECT     	EL_00102	John Adams	John Adams
CORRECT     	EL_01781	Syracuse, New York	Syracuse, New York
CORRECT     	EL_01782	Syracuse, New York	Syracuse, New York
WRONG KB ID 	EL_00855	Hobbs	Jack Hobbs
CORRECT     	EL_00257	Birmingham	Birmingham
CORRECT     	EL_01359	Mike Honda	Mike Honda
