WRONG KB ID 	EL_ENG_01681	Burlington	Burlington, Wisconsin
CORRECT     	EL_ENG_00934	Howie Clark	Howie Clark
WRONG KB ID 	EL_ENG_00141	Newtown	Newtown Jets
WRONG KB ID 	EL_ENG_00420	Newtown	Newtown Jets
CORRECT     	EL_ENG_02219	Symbionese Liberation Army	Symbionese Liberation Army
WRONG KB ID 	EL_ENG_02059	Zurich, Switzerland	Switzerland
CORRECT     	EL_ENG_00973	Oakville, Canada	Oakville, Ontario
CORRECT     	EL_ENG_01937	Auburn, Georgia	Auburn, Georgia
WRONG KB ID 	EL_ENG_02034	Fulham	Brede Hangeland
CORRECT     	EL_ENG_01922	Randy Cross	Randy Cross
CORRECT     	EL_ENG_01584	Michael Moore	Michael Moore
CORRECT     	EL_ENG_00943	Sunderland	Sunderland A.F.C.
CORRECT     	EL_ENG_01050	Sunderland	Sunderland A.F.C.
CORRECT     	EL_ENG_00801	Lakeville, Indiana	Lakeville, Indiana
CORRECT     	EL_ENG_00541	Seibu Lions	Saitama Seibu Lions
EXP NIL     	EL_ENG_00685	Ottawa, Canada	Ottawa
CORRECT     	EL_ENG_01197	Austin, Minnesota	Austin, Minnesota
WRONG KB ID 	EL_ENG_00964	Houston, Texas	George Bush Intercontinental Airport
EXP NIL     	EL_ENG_01170	Genarlow Wilson	Wilson v. State of Georgia
CORRECT     	EL_ENG_01650	UK	United Kingdom
CORRECT     	EL_ENG_00891	Rockdale, Texas	Rockdale, Texas
EXP NIL     	EL_ENG_00216	Exeter	Exeter
CORRECT     	EL_ENG_01587	Exeter	Exeter
CORRECT     	EL_ENG_00003	Thomasville	Thomasville, Georgia
EXP NIL     	EL_ENG_02195	John Collins	John Augustine Collins
CORRECT     	EL_ENG_01456	Oakland	Oakland, California
CORRECT     	EL_ENG_00499	Awami National Party	Awami National Party
CORRECT     	EL_ENG_00500	Awami National Party	Awami National Party
CORRECT     	EL_ENG_00115	Bruce Starr	Bruce Starr
WRONG KB ID 	EL_ENG_01148	Columbus, New York	Columbus, New York
CORRECT     	EL_ENG_01738	Cleveland, Minnesota	Cleveland, Minnesota
CORRECT     	EL_ENG_01529	Cambridge, Maryland	Cambridge, Maryland
EXP NIL     	EL_ENG_00294	Kevin Brown	Kevin Brown (right-handed pitcher)
CORRECT     	EL_ENG_01869	Energy Information Administration	Energy Information Administration
CORRECT     	EL_ENG_00482	Princeton, Massachusetts	Princeton, Massachusetts
WRONG KB ID 	EL_ENG_00513	Dayton, Tennessee	Scopes Trial
EXP NIL     	EL_ENG_00280	ODA	Oda Nobunaga
CORRECT     	EL_ENG_00572	Ed Johnson	Ed Johnson (American football)
EXP NIL     	EL_ENG_01795	Bill Tierney	Bill Tierney
EXP NIL     	EL_ENG_01791	John Adams	John Adams
EXP NIL     	EL_ENG_01329	Brant Parker	Brant Parker
CORRECT     	EL_ENG_00165	Richard Hamilton	Richard Hamilton (basketball)
WRONG KB ID 	EL_ENG_02022	Ray Brown	Ray Brown (musician)
CORRECT     	EL_ENG_00413	Syracuse, New York	Syracuse, New York
WRONG KB ID 	EL_ENG_00669	Syracuse	Syracuse, New York
CORRECT     	EL_ENG_00342	Hillsdale, New Jersey	Hillsdale, New Jersey
CORRECT     	EL_ENG_02156	Frisco, Texas	Frisco, Texas
CORRECT     	EL_ENG_00068	American Basketball Association	American Basketball Association
EXP NIL     	EL_ENG_00327	ABA	American Basketball Association
EXP NIL     	EL_ENG_01663	Aba	American Basketball Association
CORRECT     	EL_ENG_01729	American Basketball Association	American Basketball Association
CORRECT     	EL_ENG_02086	Cartersville, Georgia	Cartersville, Georgia
EXP NIL     	EL_ENG_00330	Dave Clark	The Dave Clark Five
CORRECT     	EL_ENG_00305	Dover	Dover
EXP NIL     	EL_ENG_00365	Phoenix	Phoenix, Arizona
CORRECT     	EL_ENG_00795	Phoenix	Phoenix, Arizona
EXP NIL     	EL_ENG_01463	Phoenix	Phoenix, Arizona
EXP NIL     	EL_ENG_01568	Phoenix	Phoenix, Arizona
EXP NIL     	EL_ENG_02188	Phoenix	Phoenix, Arizona
WRONG KB ID 	EL_ENG_00514	Birmingham	Birmingham
WRONG KB ID 	EL_ENG_01119	Birmingham	Birmingham
CORRECT     	EL_ENG_01108	Nicole Randall Johnson	Nicole Randall Johnson
CORRECT     	EL_ENG_02009	Heather A. Wilson	Heather Wilson
WRONG KB ID 	EL_ENG_01720	Plainfield, Massachusetts	Plainfield, Massachusetts
