0	Burlington	Burlington, Wisconsin	"The issue involves the proper allocation of hundreds of billions of dollars of liability at thousands of cleanup sites nationwide, lawyers for the Burlington Northern railway told the court. Burlington questioned why it should be forced to pay any of the clean-up cost. But in March, the 9th U.S. Circuit Court of Appeals ruled that because Burlington and Shell were responsible in part for the pollution, they can be held liable for the full cost of the clean-up. Burlington called that a ""radical change in the law,"" and the court voted to hear its appeal, probably in January."
1	Howie Clark	Howie Clark	"Two days after Alex Rodriguez shouted something at Toronto Blue Jays infielder Howie Clark, the sound is still reverberating around Major League Baseball clubhouses. In the ninth inning of the Wednesday game between the Blue Jays and New York Yankees, Rodriguez was running to third base past Clark as the Toronto third baseman was setting up to catch Jorge Posada's pop-up. Rodriguez then apparently yelled something that caused Clark to get out of the way and leave the ball for a teammate, allowing it to drop. Clark claimed Rodriguez shouted, ""Mine"", but Rodriguez insists he just yelled ""Ha"" <"
0	Newtown	Newtown Jets	"Newtown, who stars as sassy receptionist Amanda Sommers on ""Ugly Betty,"" isn't sure what character Campbell will play or if she'll actually have scenes with the 37-year-old supermodel, who was arrested earlier this month on suspicion of assaulting an officer after police were called to a disturbance at Heathrow Airport in London."
0	Newtown	Newtown Jets	Newtown, who stars as sassy receptionist Amanda Sommers on &quot;Ugly Betty,&quot; isn't sure what character Campbell will play or if she'll actually have scenes with the 37-year-old supermodel, who was arrested earlier this month on suspicion of assaulting an officer after police were called to a disturbance at Heathrow Airport in London.
1	Symbionese Liberation Army	Symbionese Liberation Army	Sara Jane Olson rearrested The former member of the SLA, paroled last week, is back in prison.
0	Lafayette	Lafayette College	Art Quilts at Play Jane Davila and Elin Waterston C&amp;T Publishing Box 1456, Lafayette CA 94549 9781571205308, $29.95 www.ctpub.com
1	Wilmington, Ohio	Wilmington, Ohio	On June 8-9, Wilmington, Ohio, is hosting the 13th annual Banana Split Festival.
1	Randy Cross	Randy Cross	Former 49ers center Randy Cross, an NFL analyst for CBS, said the same thing.
1	Michael Moore	Michael Moore	"Moore stuff to be happy about! Michael Moore film gets U.S. release LOS ANGELES -- Michael Moore's award-winning documentary ""Fahrenheit 9/11"" has picked up a U.S. distributor and will hit theaters June 25."
1	Sunderland	Sunderland A.F.C.	Chelsea vs Sunderland -Saturday 15:00 CHE – Chelsea have lost key flayers to National duty in the African Cup of Nations, Drogba, Essien, Kalou and Mikel being the players absent.
1	Seibu Lions	Saitama Seibu Lions	Nakamura's blast gave the Japan Series champion Lions a 5-2 lead in the game that was ended after seven innings under the tournament's mercy rule.
0	Ottawa	Ottawa	What a steal by Ottawa today.
1	Austin	Austin, Minnesota	Other city and village maps included on this CD: Albert Lea, Anoka, Austin, Blue Earth City, Brainerd, Brownsville, Caledonia, Carver, Chaska, Chatfield, Clencoe, Cleveland, Dodge Center, Duluth, East Janesville, Faribault, Hastings, Henderson, Kasson, Lake City, Lanesboro, Le Sueur, Litchfield, Mankato, Mantorville, Minneapolis, New Auburn, New Ulm, Northfield, Owatonna, Preston, Red Wing, Rochester, Rushford, Sauk Centre, Sauk Rapids, Shakopee, Spring Valley, St. Cloud, St. Paul, St. Peter, Stillwater, Wabasha, Waseca, Wells, Wilton, Willmar, Winona and Winnebago City.
0	Genarlow Wilson	Wilson v. State of Georgia	"Wilson's original sentence, for aggravated child molestation, was widely criticized on the grounds it was grossly disproportionate to the crime. Wilson was also charged with rape for being one of several male partygoers at the Douglas County hotel to have sex with a 17 -year-old girl, but was acquitted. The judge threw out Genarlow Wilson's previous sentence and amended it to misdemeanor aggravated child molestation with a 12-month sentence, plus credit for time served. Wilson, now 21, has been behind bars for more than two years. ""If this court or any court cannot recognize the injustice of what has occurred here, then our court system has lost sight of the goal our judicial system has always strived to accomplish ... justice being served in a fair and equal manner,"" wrote Judge Thomas H. Wilson, no relation to Genarlow Wilson. Wilson's lawyer B.J. Bernstein said the attorney general's office had filed notice of appeal, and said she beleives it puts a stop to Wilson's immediate release. A Georgia Department of Corrections spokeswoman said the agency cannot take any action regarding Wilson nor comment on his case until it receives a copy of the judge's order. ""The fact that Genarlow Wilson has spent two years in prison for what is now classified as a misdemeanor, and without assistance from this Court, will spend eight more years in prison, is a grave miscarriage of justice,"" the judge wrote."
0	UK	United Kingdom	He passed away at 7:45 p.m., with his family and members of the UK coaching staff with him at the hospital.
1	UK	United Kingdom	Work Permit For the UK Work Permit For the UK The United Kingdom is known to be the wonderful destination for citizens residing in various regions of the world.
0	Exeter	Exeter	1 Lincoln 1 Darlington 3 Accrington 0 Exeter 2 Notts County 2  Exeter 2 Notts County 2 <
0	Exeter	Exeter	Exeter returned to the English Football League after a five-year absence on Sunday as Rob Edwards's goal clinched a 1-0 win over Cambridge United in the National Conference play-off final. Exeter had the first sight of goal as Richard Logan found himself unmarked at the far post but the striker was defeated by the tight angle and put his header into the sidenetting.
